"communityDistrict	",Median_Household_Income,,,,
112,69719,,,,
111,67376,,,,
110,70646,,,,
109,50905,,,,
108,70900,,,,
107,47850,,,,
106,27325,,,,
105,37072,,,,
104,37690,,,,
103,27325,,,,
102,29025,,,,
101,29025,,,,
503,125048,,,,
502,95025,,,,
501,87027,,,,
414,63706,,,,
413,109726,,,,
412,76104,,,,
411,107287,,,,
410,97536,,,,
409,89108,,,,
408,83538,,,,
407,63590,,,,
406,103210,,,,
405,84250,,,,
404,77724,,,,
403,77791,,,,
402,93664,,,,
401,91657,,,,
312,61939,,,,
311,37515,,,,
310,63588,,,,
309,79144,,,,
308,155422,,,,
307,158282,,,,
306,178848,,,,
305,139197,,,,
304,139197,,,,
303,47811,,,,
302,187635,,,,
301,187635,,,,
218,93152,,,,
217,70491,,,,
216,36284,,,,
215,86966,,,,
214,75936,,,,
213,47126,,,,
212,63749,,,,
211,66143,,,,
210,88635,,,,
209,77212,,,,
208,86158,,,,
207,78566,,,,
206,179715,,,,
205,53238,,,,
204,76719,,,,
203,70828,,,,
202,129124,,,,
201,113772,,,,
