neighborhood,borough,date,discountShare,medianAskingRent,totalInventory
Astoria,Queens,1/1/19,0.169,2199,1635
Astoria,Queens,2/1/19,0.169,2200,1602
Astoria,Queens,3/1/19,0.177,2200,1749
Astoria,Queens,4/1/19,0.159,2200,1801
Astoria,Queens,5/1/19,0.16,2250,1853
Astoria,Queens,6/1/19,0.163,2300,1686
Astoria,Queens,7/1/19,0.131,2350,1868
Astoria,Queens,8/1/19,0.154,2350,1642
Astoria,Queens,9/1/19,0.169,2350,1414
Astoria,Queens,10/1/19,0.175,2350,1422
Astoria,Queens,11/1/19,0.164,2300,1211
Astoria,Queens,12/1/19,0.145,2298,1056
Astoria,Queens,1/1/20,0.153,2329,1160
Astoria,Queens,2/1/20,0.126,2395,1145
Astoria,Queens,3/1/20,0.151,2300,1043
Astoria,Queens,4/1/20,0.139,2300,825
Astoria,Queens,5/1/20,0.164,2275,1344
Astoria,Queens,6/1/20,0.174,2245,1991
Astoria,Queens,7/1/20,0.205,2200,2545
Astoria,Queens,8/1/20,0.208,2155,2819
Astoria,Queens,9/1/20,0.209,2100,2983
Astoria,Queens,10/1/20,0.193,2000,3393
Astoria,Queens,11/1/20,0.175,2000,3085
Astoria,Queens,12/1/20,0.147,1995,3005
Astoria,Queens,1/1/21,0.153,1950,3239
Astoria,Queens,2/1/21,0.143,1950,2880
Astoria,Queens,3/1/21,0.131,1900,3278
Astoria,Queens,4/1/21,0.116,1950,2845
Astoria,Queens,5/1/21,0.113,1999,2701
Astoria,Queens,6/1/21,0.131,2000,2421
Astoria,Queens,7/1/21,0.088,2100,2078
Astoria,Queens,8/1/21,0.108,2200,1906
Astoria,Queens,9/1/21,0.1,2200,1775
Astoria,Queens,10/1/21,0.099,2200,1750
Astoria,Queens,11/1/21,0.102,2200,1649
Astoria,Queens,12/1/21,0.089,2250,1396
Astoria,Queens,1/1/22,0.096,2253,1274
Astoria,Queens,2/1/22,0.095,2300,1185
Astoria,Queens,3/1/22,0.09,2350,1154
Auburndale,Queens,1/1/19,0.125,2045,16
Auburndale,Queens,2/1/19,0.062,2045,16
Auburndale,Queens,3/1/19,0.19,1995,21
Auburndale,Queens,4/1/19,0.2,1998,20
Auburndale,Queens,5/1/19,0.05,1998,20
Auburndale,Queens,6/1/19,0,1900,13
Auburndale,Queens,7/1/19,0.4,1650,15
Auburndale,Queens,8/1/19,0.091,2198,22
Auburndale,Queens,9/1/19,0.087,2100,23
Auburndale,Queens,10/1/19,0.241,2100,29
Auburndale,Queens,11/1/19,0.375,2177,16
Auburndale,Queens,12/1/19,0.095,1900,21
Auburndale,Queens,1/1/20,0.192,1895,26
Auburndale,Queens,2/1/20,0.25,2000,20
Auburndale,Queens,3/1/20,0.222,1998,18
Auburndale,Queens,4/1/20,0,0,8
Auburndale,Queens,5/1/20,0.15,1998,20
