neighborhood,borough,communityDistrict,,date,medianDaysOnMarket,medianAskingPrice,medianRecordedSalesPrice,priceCutShare,recordedSalesVolume,saleListRatio,totalInventory,
Baychester,Bronx,112,,1/1/19,0,0,0,0,3,0,8,
Baychester,Bronx,112,,2/1/19,0,0,0,0,3,0,8,
Baychester,Bronx,112,,3/1/19,0,0,0,0,4,0,8,
Baychester,Bronx,112,,4/1/19,0,0,500000,0,13,0,9,
Baychester,Bronx,112,,5/1/19,0,0,0,0,4,0,9,
Baychester,Bronx,112,,6/1/19,0,0,0,0,1,0,8,
Baychester,Bronx,112,,7/1/19,0,0,0,0,6,0,7,
Baychester,Bronx,112,,8/1/19,0,0,0,0,5,0,6,
Baychester,Bronx,112,,9/1/19,0,0,0,0,6,0,4,
Baychester,Bronx,112,,10/1/19,0,0,0,0,6,0,5,
Baychester,Bronx,112,,11/1/19,0,0,0,0,7,0,5,
Baychester,Bronx,112,,12/1/19,0,0,0,0,5,0,5,
Baychester,Bronx,112,,1/1/20,0,0,0,0,2,0,4,
Baychester,Bronx,112,,2/1/20,0,0,0,0,5,0,4,
Baychester,Bronx,112,,3/1/20,0,0,0,0,2,0,5,
Baychester,Bronx,112,,4/1/20,0,0,0,0,3,0,5,
Baychester,Bronx,112,,5/1/20,0,0,0,0,3,0,5,
Baychester,Bronx,112,,6/1/20,0,0,0,0,6,0,4,
Baychester,Bronx,112,,7/1/20,0,0,0,0,5,0,4,
Baychester,Bronx,112,,8/1/20,0,0,0,0,3,0,4,
Baychester,Bronx,112,,9/1/20,0,0,0,0,3,0,3,
Baychester,Bronx,112,,10/1/20,0,0,0,0,0,0,3,
Baychester,Bronx,112,,11/1/20,0,0,0,0,8,0,3,
Baychester,Bronx,112,,12/1/20,0,0,0,0,4,0,3,
Baychester,Bronx,112,,1/1/21,0,0,0,0,0,0,1,
Baychester,Bronx,112,,2/1/21,0,0,0,0,5,0,0,
Baychester,Bronx,112,,3/1/21,0,0,0,0,3,0,0,
Baychester,Bronx,112,,4/1/21,0,0,0,0,4,0,0,
Baychester,Bronx,112,,5/1/21,0,0,0,0,3,0,0,
Baychester,Bronx,112,,6/1/21,0,0,0,0,4,0,0,
Baychester,Bronx,112,,7/1/21,0,0,0,0,7,0,0,
Baychester,Bronx,112,,8/1/21,0,0,0,0,2,0,0,
Baychester,Bronx,112,,9/1/21,0,0,0,0,2,0,0,
Baychester,Bronx,112,,10/1/21,0,0,0,0,3,0,3,
Baychester,Bronx,112,,11/1/21,0,0,0,0,4,0,3,
Baychester,Bronx,112,,12/1/21,0,0,0,0,4,0,4,
Baychester,Bronx,112,,1/1/22,0,0,0,0,7,0,3,
Baychester,Bronx,112,,2/1/22,0,0,0,0,7,0,3,
Baychester,Bronx,112,,3/1/22,0,0,0,0,1,0,7,
Bedford Park,Bronx,107,,1/1/19,0,194500,0,0,2,0,12,
Bedford Park,Bronx,107,,2/1/19,0,179000,0,0,2,0,13,
Bedford Park,Bronx,107,,3/1/19,0,179000,0,0,7,0,11,
